plant_id_eia,generator_id,prime_mover_code,duct_burners,operating_date,topping_bottoming_code,solid_fuel_gasification,pulverized_coal_tech,fluidized_bed_tech,subcritical_tech,supercritical_tech,ultrasupercritical_tech,stoker_tech,other_combustion_tech,heat_bypass_recovery,rto_iso_lmp_node_id,rto_iso_location_wholesale_reporting_id,associated_combined_heat_power,original_planned_operating_date,operating_switch,previously_canceled
61894,CR2,PV,False,2015-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61894,CR1,PV,False,2015-10-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61893,BNBSO,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61893,BNBHQ,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61892,PLMST,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61891,EDGRD,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61890,SGT1,GT,False,1990-06-01,X,False,False,False,False,False,False,False,False,False,50809,50809,False,,,False
61889,WSN1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61888,10049,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61887,DEPIC,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61886,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-01-01,,False
61885,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61884,PV1,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61883,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-11-01,,False
61882,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61881,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61879,PV,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-03-01,,False
61878,JALC,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-06-01,,False
61877,HAN01,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2017-08-01,,False
61876,PCWF1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61875,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61874,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61873,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61872,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61871,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61870,MONTE,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61869,SHS3,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61868,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61867,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61866,1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61865,1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-06-01,,False
61864,DIXSL,PV,False,2017-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61863,10048,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61862,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61861,SRP,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61860,ONTRO,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61859,WT,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-09-01,,False
61858,WT,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-07-01,,False
61857,KG18,IC,False,2014-08-01,T,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61857,KG12,IC,False,2014-08-01,T,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61857,CG1,GT,False,2003-01-01,T,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61856,VALE,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-10-01,,False
61855,MORGN,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-10-01,,False
61854,BAKER,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61853,GEN 2,HY,False,2008-07-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61853,GEN 1,HY,False,2008-07-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61852,ESMSF,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2021-12-01,,False
61851,CIPB1,BA,False,2016-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC9,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC8,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC7,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC6,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC5,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC4,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC3,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC2,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC12,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC11,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC10,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61850,IC1,IC,False,2001-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61849,SO291,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-03-01,,False
61848,WT1,WT,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61847,10046,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61846,MM27,FC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-02-01,,False
61845,MM29,FC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-07-01,,False
61845,MM28,FC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-07-01,,False
61844,BRUSH,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-10-01,,False
61843,10276,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-05-01,,False
61842,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61841,SCITU,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61840,HOPE,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-03-01,,False
61839,FECC1,PV,False,2017-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61838,ST2,ST,False,2017-02-01,T,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61838,ST1,ST,False,2017-02-01,T,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61837,MV,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61836,MIV,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61835,PGRC4,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61834,SCSP1,PV,False,2016-08-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61833,PGRC9,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61832,PGRC5,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61831,PGRC2,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61830,PGRC8,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61829,PGRC7,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61828,PGRC6,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61827,PGRC3,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61826,OREC,PV,False,2014-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61825,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-05-01,,False
61824,RPU2,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61823,1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2020-01-01,,False
61822,S1,PV,False,2012-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61822,GT1,GT,False,2012-10-01,T,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61822,EDG3,IC,False,2012-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61822,EDG2,IC,False,2012-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61822,EDG1,IC,False,2012-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61821,PV1,PV,False,2017-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61820,213PV,PV,False,2012-07-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61820,213FC,FC,False,2016-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61819,211,PV,False,2013-02-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61818,AMPBR,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61817,BIGLA,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61816,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61815,KSG7,PV,False,2017-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61815,KSG6,PV,False,2017-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61815,KSG5,PV,False,2017-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61815,KSG2,PV,False,2017-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61815,KSG1,PV,False,2017-03-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61814,CII,PV,False,2017-01-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61813,RCHLD,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61812,1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2020-01-01,,False
61811,PCEC,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61810,GEN1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61809,STWII,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-05-01,,False
61807,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61805,AMPPS,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-07-01,,False
61804,ROC01,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61803,10003,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2022-12-01,,False
61802,10001,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2023-12-01,,False
61801,10002,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2022-12-01,,False
61800,AMPSM,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61799,SREN2,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-11-01,,False
61798,1,PV,False,2017-02-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61797,PV,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61796,LGBSC,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-07-01,,False
61795,12649,BA,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-10-01,,False
61794,GTWYS,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61794,GTWYN,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61793,HEYER,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61792,5002,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61791,5001,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61790,SHAWC,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61789,DV,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61788,WT,WT,False,2008-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61787,BHIII,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-05-01,,False
61786,MB-22,FC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-06-01,,False
61785,CAMSR,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-12-01,,False
61784,UWE,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61783,NMCSF,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-01-01,,False
61782,WTGS,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61781,EDE,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2016-12-01,,False
61780,ENG4,IC,False,2007-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61780,ENG3,IC,False,2007-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61780,ENG2,IC,False,2007-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61780,ENG1,IC,False,2007-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61779,ENG1,IC,False,2010-02-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61778,N301,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2016-12-01,,False
61777,ENG6,IC,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61777,ENG5,IC,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61777,ENG4,IC,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61777,ENG3,IC,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61777,ENG2,IC,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61777,ENG1,IC,False,2008-05-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61776,MIDWY,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61775,OT196,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2017-04-01,,False
61774,SYNBO,PV,False,2016-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61773,PW,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2020-01-01,,False
61771,SYNH3,PV,False,2017-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61770,SYNH2,PV,False,2017-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61769,SYNH1,PV,False,2017-11-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61768,1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-01-01,,False
61767,1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-01-01,,False
61766,1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-01-01,,False
61765,SNWH1,PV,False,2016-09-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61764,SNWH2,PV,False,2016-09-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61763,1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-01-01,,False
61762,SHERB,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-05-01,,False
61761,GEN-1,ST,False,2006-12-01,B,False,False,False,False,False,False,False,False,False,nan,nan,True,,,False
61760,C4GT,CC,True,,,False,False,False,False,False,False,False,False,True,nan,nan,False,2021-03-01,,False
61759,CVS1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-02-01,,False
61758,GEN3,IC,False,2011-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61758,GEN2,IC,False,2011-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61758,GEN1,IC,False,2011-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61756,MWLVI,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61755,EA,PV,False,2017-04-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61754,1,IC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,True,2018-03-01,,False
61753,PV2,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61753,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61752,PV1,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-04-01,,False
61751,RCLIP,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61750,WICA,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-12-01,,False
61749,GEN3,HY,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-03-01,,False
61749,GEN2,HY,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-03-01,,False
61749,GEN1,HY,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-03-01,,False
61748,PRGE1,PV,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61747,1,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-09-01,,False
61746,BCSD,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61745,ACSD,WT,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61744,1,PV,False,2017-07-01,X,False,False,False,False,False,False,False,False,False,dek,dek,False,,,False
61743,MMH3,FC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-05-01,,False
61743,MMH2,FC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2019-04-01,,False
61742,GEN2,FW,False,2012-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61742,GEN1,FW,False,2012-06-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61741,KBESS,BA,False,,,False,False,False,False,False,False,False,False,False,lz_aen,lz_aen,False,2018-06-01,,False
61740,GR01,PV,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2017-12-01,,False
61739,SYR1,BA,False,2017-08-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61738,SOLAR,PV,False,2015-01-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61737,GEN4,IC,False,,,False,False,False,False,False,False,False,False,False,nan,nan,False,2018-09-01,,False
61737,GEN3,IC,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
61737,GEN2,IC,False,2017-12-01,X,False,False,False,False,False,False,False,False,False,nan,nan,False,,,False
